avg_ws_size,num_cands,num_profiles,num_voters,perc_mult_winners,vm
1.08062,6,100000,"(4, 5)",0.07166,Stable Voting
1.75372,6,100000,"(4, 5)",0.33489,Plurality
1.89299,6,100000,"(4, 5)",0.54652,Instant Runoff
1.71112,6,100000,"(4, 5)",0.43541,Beat Path
1.03186,6,100000,"(10, 11)",0.02967,Stable Voting
1.45463,6,100000,"(10, 11)",0.31747,Plurality
1.60905,6,100000,"(10, 11)",0.41204,Instant Runoff
1.43824,6,100000,"(10, 11)",0.31459,Beat Path
1.0154,6,100000,"(20, 21)",0.0147,Stable Voting
1.34338,6,100000,"(20, 21)",0.25547,Plurality
1.42627,6,100000,"(20, 21)",0.32046,Instant Runoff
1.30338,6,100000,"(20, 21)",0.23901,Beat Path
1.00564,6,100000,"(50, 51)",0.00543,Stable Voting
1.22025,6,100000,"(50, 51)",0.1837,Plurality
1.27036,6,100000,"(50, 51)",0.22535,Instant Runoff
1.19074,6,100000,"(50, 51)",0.16267,Beat Path
1.00282,6,100000,"(100, 101)",0.00276,Stable Voting
1.15336,6,100000,"(100, 101)",0.13543,Plurality
1.18989,6,100000,"(100, 101)",0.16567,Instant Runoff
1.13462,6,100000,"(100, 101)",0.1202,Beat Path
1.0006,6,100000,"(500, 501)",0.00059,Stable Voting
1.07012,6,100000,"(500, 501)",0.06619,Plurality
1.08143,6,100000,"(500, 501)",0.07664,Instant Runoff
1.05745,6,100000,"(500, 501)",0.05456,Beat Path
1.00027,6,100000,"(1000, 1001)",0.00026,Stable Voting
1.05022,6,100000,"(1000, 1001)",0.04795,Plurality
1.05668,6,100000,"(1000, 1001)",0.05424,Instant Runoff
1.04006,6,100000,"(1000, 1001)",0.03881,Beat Path
1.00007,6,100000,"(5000, 5001)",7.0e-5,Stable Voting
1.02156,6,100000,"(5000, 5001)",0.02129,Plurality
1.02576,6,100000,"(5000, 5001)",0.02533,Instant Runoff
1.01784,6,100000,"(5000, 5001)",0.01752,Beat Path
