num_cands,num_voters,num_profiles,pm,vm,avg_cw_rank,avg_perc_cw_rank,perc_cw_rank_first,avg_cl_rank,avg_perc_cl_rank,perc_cl_rank_last,avg_num_ranks,perc_linear_rank
3,"(4, 5)",50000,IC,Stable Voting Ranking,1.0,33.33333333333332,1.0,2.899867641134833,96.66225470449444,1.0,2.60136,0.6494
3,"(4, 5)",50000,IC,Copeland Ranking,1.0,33.33333333333332,1.0,2.8460608850779767,94.8686961692659,1.0,2.69258,0.75218
3,"(4, 5)",50000,IC,Plurality Ranking,1.0174510682802929,33.915035609343086,0.7752876139249962,2.2243770501237266,74.14590167079088,0.5503826897623295,2.3362,0.3362
3,"(4, 5)",50000,IC,Borda Ranking,1.0060959211116092,33.53653070372029,0.9275959958165247,2.7543592104505956,91.81197368168651,0.9183403349254762,2.6916,0.73964
3,"(4, 5)",50000,IC,Minimax Ranking,1.0,33.33333333333332,1.0,2.3425504977844276,78.08501659281426,0.49648961270645103,2.29844,0.34648
3,"(10, 11)",50000,IC,Stable Voting Ranking,1.0,33.33333333333332,1.0,2.9491608677855097,98.30536225951698,1.0,2.7372,0.76426
3,"(10, 11)",50000,IC,Copeland Ranking,1.0,33.33333333333332,1.0,2.8832037112839406,96.10679037613136,1.0,2.6898,0.76058
3,"(10, 11)",50000,IC,Plurality Ranking,1.0638058986225594,35.460196620751965,0.7819919489552811,2.44210669941329,81.40355664710965,0.650211488606904,2.5572,0.5572
3,"(10, 11)",50000,IC,Borda Ranking,1.0196894597036996,33.989648656789974,0.8957471862420243,2.7990448901623686,93.30149633874562,0.9341519989084459,2.7554,0.78246
3,"(10, 11)",50000,IC,Minimax Ranking,1.0,33.33333333333332,1.0,2.536471551371265,84.54905171237549,0.6532678400873243,2.51976,0.54682
3,"(20, 21)",50000,IC,Stable Voting Ranking,1.0,33.33333333333332,1.0,2.965009068923821,98.83363563079403,1.0,2.80984,0.82286
3,"(20, 21)",50000,IC,Copeland Ranking,1.0,33.33333333333332,1.0,2.9053305118903667,96.84435039634556,1.0,2.75154,0.79896
3,"(20, 21)",50000,IC,Plurality Ranking,1.1232282180577506,37.440940601925014,0.7746418805348586,2.5074566706972994,83.5818890232433,0.6625856509471987,2.69028,0.70614
3,"(20, 21)",50000,IC,Borda Ranking,1.0311582750056447,34.37194250018814,0.9243621585007903,2.8212666263603388,94.04222087867795,0.900922007255139,2.8151,0.82812
3,"(20, 21)",50000,IC,Minimax Ranking,1.0,33.33333333333332,1.0,2.5421453043127773,84.7381768104259,0.6368147924224103,2.64262,0.65564
3,"(50, 51)",50000,IC,Stable Voting Ranking,1.0,33.33333333333332,1.0,2.990944814624979,99.69816048749928,1.0,2.89476,0.8998
3,"(50, 51)",50000,IC,Copeland Ranking,1.0,33.33333333333332,1.0,2.9443264748236557,98.1442158274552,1.0,2.75918,0.83598
3,"(50, 51)",50000,IC,Plurality Ranking,1.1809173411822418,39.36391137274139,0.7580328673043905,2.6055746747699593,86.85248915899865,0.7130897464059944,2.8038,0.81082
3,"(50, 51)",50000,IC,Borda Ranking,1.0516065734608782,35.05355244869593,0.9065489330389993,2.855971296770887,95.19904322569623,0.9066656903663567,2.8851,0.89014
3,"(50, 51)",50000,IC,Minimax Ranking,1.0,33.33333333333332,1.0,2.6148739352224744,87.16246450741582,0.6705474603988186,2.75848,0.76352
3,"(500, 501)",50000,IC,Stable Voting Ranking,1.0,33.333333333333314,1.0,2.999052282419839,99.96840941399464,1.0,2.96762,0.96814
3,"(500, 501)",50000,IC,Copeland Ranking,1.0,33.333333333333314,1.0,2.9814743777782793,99.38247925927597,1.0,2.80654,0.8856
3,"(500, 501)",50000,IC,Plurality Ranking,1.232730300166509,41.0910100055503,0.7684847666621665,2.6837105399733736,89.45701799911247,0.7434167475235237,2.93528,0.93634
3,"(500, 501)",50000,IC,Borda Ranking,1.0819045047477611,36.063483491592024,0.9049997749876243,2.891666854705869,96.3888951568623,0.9057472301825484,2.96178,0.9623
3,"(500, 501)",50000,IC,Minimax Ranking,1.0,33.333333333333314,1.0,2.6966852449398653,89.88950816466217,0.7152108671615859,2.9298,0.93032
3,"(1000, 1001)",50000,IC,Stable Voting Ranking,1.0,33.33333333333332,1.0,2.9997099638570344,99.99033212856783,1.0,2.97728,0.9776
3,"(1000, 1001)",50000,IC,Copeland Ranking,1.0,33.33333333333332,1.0,2.9861898175003345,99.53966058334447,1.0,2.8203,0.89714
