avg_ws_size,num_cands,num_profiles,num_voters,perc_mult_winners,vm
1.71342,6,100000,"(4, 5)",0.43841,Beat Path
1.88761,6,100000,"(4, 5)",0.54507,Instant Runoff
1.08072,6,100000,"(4, 5)",0.07159,Stable Voting
1.7498,6,100000,"(4, 5)",0.33541,Plurality
1.44219,6,100000,"(10, 11)",0.31696,Beat Path
1.60874,6,100000,"(10, 11)",0.41383,Instant Runoff
1.0308,6,100000,"(10, 11)",0.02889,Stable Voting
1.45461,6,100000,"(10, 11)",0.31902,Plurality
1.30681,6,100000,"(20, 21)",0.24045,Beat Path
1.4244,6,100000,"(20, 21)",0.32038,Instant Runoff
1.01542,6,100000,"(20, 21)",0.01466,Stable Voting
1.34405,6,100000,"(20, 21)",0.25668,Plurality
1.19296,6,100000,"(50, 51)",0.16452,Beat Path
1.27036,6,100000,"(50, 51)",0.22519,Instant Runoff
1.00549,6,100000,"(50, 51)",0.00531,Stable Voting
1.21901,6,100000,"(50, 51)",0.18395,Plurality
1.13389,6,100000,"(100, 101)",0.1195,Beat Path
1.18731,6,100000,"(100, 101)",0.16454,Instant Runoff
1.00258,6,100000,"(100, 101)",0.00253,Stable Voting
1.15742,6,100000,"(100, 101)",0.13743,Plurality
1.05765,6,100000,"(500, 501)",0.05453,Beat Path
1.08184,6,100000,"(500, 501)",0.07696,Instant Runoff
1.00051,6,100000,"(500, 501)",0.0005,Stable Voting
1.06953,6,100000,"(500, 501)",0.06565,Plurality
1.04014,6,100000,"(1000, 1001)",0.03857,Beat Path
1.05632,6,100000,"(1000, 1001)",0.05406,Instant Runoff
1.00026,6,100000,"(1000, 1001)",0.00026,Stable Voting
1.04974,6,100000,"(1000, 1001)",0.04757,Plurality
1.01765,6,100000,"(5000, 5001)",0.01732,Beat Path
1.02642,6,100000,"(5000, 5001)",0.02591,Instant Runoff
1.00008,6,100000,"(5000, 5001)",8.0e-5,Stable Voting
1.02108,6,100000,"(5000, 5001)",0.02072,Plurality
